pokemon_item,set,ungraded,grade_nine,grade_ten,date(D/M/Y)
Charizard #E6,pokemon-1999-topps-movie-evolution,8.01,43.72,126.50,06/07/2024
Charmeleon #E5,pokemon-1999-topps-movie-evolution,4.00,20.50,72.22,06/07/2024
Bulbasaur [Rainbow Foil] #E1,pokemon-1999-topps-movie-evolution,20.50,92.00,N/A,06/07/2024
Dragonite [Foil] #E12,pokemon-1999-topps-movie-evolution,17.97,44.63,N/A,06/07/2024
Dragonite [Rainbow Foil] #E12,pokemon-1999-topps-movie-evolution,39.50,N/A,N/A,06/07/2024
Dragonair #E11,pokemon-1999-topps-movie-evolution,3.25,22.00,67.50,06/07/2024
Squirtle [Rainbow Foil] #E7,pokemon-1999-topps-movie-evolution,23.50,89.68,N/A,06/07/2024
Wartortle #E8,pokemon-1999-topps-movie-evolution,4.00,21.24,54.68,06/07/2024
Charizard [Rainbow Foil] #E6,pokemon-1999-topps-movie-evolution,305.00,499.00,N/A,06/07/2024
Blastoise [Foil] #E9,pokemon-1999-topps-movie-evolution,7.48,41.00,202.50,06/07/2024
Bulbasaur #E1,pokemon-1999-topps-movie-evolution,3.99,30.65,53.24,06/07/2024
Squirtle #E7,pokemon-1999-topps-movie-evolution,0.99,33.21,182.27,06/07/2024
Blastoise [Rainbow Foil] #E9,pokemon-1999-topps-movie-evolution,8.88,148.37,N/A,06/07/2024
Charizard [Foil] #E6,pokemon-1999-topps-movie-evolution,9.57,80.00,950.00,06/07/2024
Bulbasaur [Foil] #E1,pokemon-1999-topps-movie-evolution,8.24,24.00,210.00,06/07/2024
Wartortle [Foil] #E8,pokemon-1999-topps-movie-evolution,1.99,N/A,N/A,06/07/2024
Dragonite #E12,pokemon-1999-topps-movie-evolution,2.93,34.07,52.00,06/07/2024
Charmander #E4,pokemon-1999-topps-movie-evolution,3.70,31.00,48.00,06/07/2024
Blastoise #E9,pokemon-1999-topps-movie-evolution,3.26,34.94,67.05,06/07/2024
Charmander [Rainbow Foil] #E4,pokemon-1999-topps-movie-evolution,23.50,132.50,N/A,06/07/2024
Ivysaur #E2,pokemon-1999-topps-movie-evolution,1.94,29.00,77.69,06/07/2024
Venusaur #E3,pokemon-1999-topps-movie-evolution,3.25,28.11,55.60,06/07/2024
Charmeleon [Foil] #E5,pokemon-1999-topps-movie-evolution,13.74,36.42,N/A,06/07/2024
